scraped_ts,category,product_name,company,price_raw,city,state,rating,product_url
2025-04-24T06:41:57,tractor,"Mahindra 265 XP PLUS, 2WD, 33 HP",,,,,,
2025-04-24T06:41:57,tractor,"Mahindra 575 Di Sp Plus Tractor, 2wd, 47 Hp",,,,,,
2025-04-24T06:41:57,tractor,"Mahindra Yuvraj 215 Nxt Tractor, 2wd, 15hp",,,,,,
2025-04-24T06:41:57,tractor,"Mahindra 275 Di Sp Plus, 2wd, 37 Hp",,,,,,
2025-04-24T06:41:57,tractor,Same Deutz Fahr Tractor in Ramnad,,,,,,
2025-04-24T06:41:57,tractor,Same Deutz Fahr Tractor In Dindigul,,,,,,
2025-04-24T06:41:57,tractor,Vst Shakti Mt 224 1d Ajai 4wb Tractor In Tamil Nadu,,,,,,
2025-04-24T06:41:58,tractor,Vst Shakti Tractor 9054 Di Viraaj In Tamil Nadu,,,,,,
2025-04-24T06:41:58,tractor,SS Tractor Small Jali,,,,,,
2025-04-24T06:41:58,tractor,"Eicher 5660 Steel Cooling Fan, For Tractor Spares",,,,,,
2025-04-24T06:41:58,tractor,Massey Ferguson 9500 4wd Tractor,,,,,,
2025-04-24T06:41:58,tractor,"Massey Ferguson Mf 241 Di/ps Tractor, 42hp",,,,,,
2025-04-24T06:41:58,tractor,"Single Plate Clutch Massey Ferguson 28hp Mf 6028 Tractor, 4wd",,,,,,
2025-04-24T06:41:58,tractor,"Massey Ferguson Mf 5245 Di 4wd Tractor, 50 Hp",,,,,,
2025-04-24T06:41:58,tractor,Mild Steel Tafe Tractor Spare Parts,,,,,,
2025-04-24T06:41:58,tractor,Mild Steel Massey Tafe Tractor Parts,,,,,,
2025-04-24T06:41:58,tractor,"Mild Steel Plate Planetary (tafe Spare Parts), For Tractor",,,,,,
2025-04-24T06:41:58,tractor,John Deere 5075e 4wd 75 Hp Tractor 1800 Kgf,,,,,,
2025-04-24T06:41:58,tractor,Tractor Mahindra Arjun 555,,,,,,
2025-04-24T06:41:58,tractor,"Vst Shakti Mini Tractor, Below 20 HP, 4WD",,,,,,
2025-04-24T06:41:58,tractor,Mini Tractor Dagla,,,,,,
2025-04-24T06:41:58,tractor,10 HP Mini Tractor,,,,,,
2025-04-24T06:41:58,tractor,12 Hp Mini Tractor,,,,,,
2025-04-24T06:41:58,tractor,9 Hp Mini Farming Tractor,,,,,,
2025-04-24T06:41:58,tractor,"Eicher Second Hand And Used Tractor for export, 2WD",,,,,,
2025-04-24T06:41:58,tractor,Tafe Ring Set,,,,,,
2025-04-24T06:51:01,tractor,"New Holland 3037 NX Agriculture Tractor, 3 Cylinder",,,,,,
2025-04-24T06:51:01,tractor,New Holland 3037 Tx Agriculture Tractor,,,,,,
